IN	R	M	N	B
3	158	79	499763	0
4	165	157	499678	0
5	166	163	499671	0
0	166	169	499665	0
1	175	138	499687	0
2	175	156	499669	0
4	175	27	499798	0
3	170	132	499698	0
5	165	62	499773	0
0	154	186	499660	0
1	158	135	499707	0
2	154	93	499753	0
3	186	41	499773	0
4	159	161	499680	0
5	175	98	499727	0
0	175	158	499667	0
1	185	35	499779	1
2	185	108	499706	1
3	185	37	499777	1
4	158	99	499743	0
5	175	108	499717	0
0	156	162	499682	0
1	185	115	499699	1
2	156	162	499682	0
3	156	17	499827	0
4	153	171	499676	0
5	153	58	499789	0
1	156	133	499711	0
2	163	156	499681	0
0	185	152	499662	1
3	156	31	499813	0
4	185	140	499674	1
5	153	3	499844	0
0	140	137	499723	0
1	163	123	499714	0
2	140	127	499733	0
3	140	56	499804	0
4	163	135	499702	0
5	163	14	499823	0
0	140	137	499723	0
1	140	131	499729	0
2	156	90	499754	0
3	140	5	499855	0
4	156	7	499837	0
5	156	36	499808	0
0	138	166	499696	0
1	138	138	499724	0
2	138	80	499782	0
3	166	103	499731	0
4	140	54	499806	0
5	138	128	499734	0
0	138	166	499696	0
1	165	137	499697	1
2	140	126	499734	0
3	138	165	499697	0
4	140	23	499837	0
5	140	122	499738	0
0	130	151	499719	0
1	165	137	499697	1
2	131	151	499718	0
3	151	16	499833	0
4	166	126	499708	0
5	166	112	499722	0
0	130	151	499719	0
1	130	17	499853	0
2	138	103	499759	0
3	131	50	499819	0
4	138	74	499788	0
5	165	131	499703	1
0	176	179	499645	0
1	151	27	499822	0
2	179	176	499645	0
3	176	46	499778	0
4	151	47	499802	0
5	130	85	499785	0
0	179	176	499645	0
1	176	162	499662	0
2	151	102	499747	0
3	179	176	499645	0
4	130	81	499789	0
5	151	14	499835	0
0	139	148	499713	0
1	179	173	499648	0
2	148	89	499763	0
3	139	112	499749	0
4	176	96	499728	0
5	179	115	499706	0
0	139	148	499713	0
1	139	77	499784	0
2	179	135	499686	0
3	148	88	499764	0
4	179	55	499766	0
5	179	85	499736	0
0	138	180	499682	0
1	148	134	499718	0
2	138	135	499727	0
3	138	149	499713	0
4	139	65	499796	0
5	148	32	499820	0
0	180	138	499682	0
1	180	136	499684	0
2	148	32	499820	0
3	180	115	499705	0
4	148	136	499716	0
5	139	61	499800	0
0	181	177	499642	0
1	180	134	499686	0
2	176	173	499650	1
3	177	16	499807	0
4	180	33	499787	0
5	180	51	499769	0
0	181	177	499642	0
1	181	28	499791	0
2	180	23	499797	0
3	181	160	499659	0
4	180	4	499816	0
5	138	28	499834	0
0	158	161	499681	0
1	177	20	499803	0
2	158	149	499693	0
3	160	111	499728	1
4	176	124	499699	1
5	176	178	499645	1
0	158	161	499681	0
1	160	157	499682	1
2	176	126	499697	1
3	158	93	499749	0
4	181	141	499678	0
5	181	139	499680	0
0	161	168	499671	0
1	158	39	499803	0
2	168	123	499709	0
3	161	117	499722	0
4	160	122	499717	1
5	158	126	499716	0
0	168	161	499671	0
1	161	162	499677	0
2	158	141	499701	0
3	161	167	499672	0
4	158	29	499813	0
5	161	35	499804	0
0	160	151	499689	0
1	161	44	499795	0
